"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"2418","Rheumatoid Arthritis","Primary Malignancy_Colorectal",-0.04,-0.14,0.05,0.05,"0.38","0.46","0.46","Diseases of the musculoskeletal system and connective tissue","Neoplasms","3","1, 2",0
"2419","Cataract","Primary Malignancy_Other Skin and subcutaneous tissue",-0.04,-0.1,0.02,0.03,"0.15","0.2","0.2","Diseases of the eye and adnexa","Neoplasms","1, 2","1, 2",0
"2420","Retinal detachments and breaks","Allergic and chronic rhinitis",-0.04,-0.16,0.08,0.06,"0.48","0.55","0.55","Diseases of the eye and adnexa","Diseases of the respiratory system","1","1, 2",0
"2421","Schizophrenia, schizotypal and delusional disorders","Cholelithiasis",-0.04,-0.09,0,0.02,"0.04","0.06","0.06","Mental and behavioural disorders","Diseases of the digestive system","1, 2, 3","1, 2",0
"2422","COPD","Retinal detachments and breaks",-0.04,-0.14,0.05,0.05,"0.33","0.41","0.41","Diseases of the respiratory system","Diseases of the eye and adnexa","1, 2","1",0
"2423","Bursitis","Primary Malignancy_Colorectal",-0.05,-0.23,0.13,0.09,"0.62","0.69","0.69","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1","1, 2",0
"2424","Coronary Heart Disease","Retinal detachments and breaks",-0.05,-0.12,0.03,0.04,"0.23","0.3","0.3","Diseases of the circulatory system","Diseases of the eye and adnexa","2, 3","1",0
"2425","Glaucoma","Chronic kidney disease",-0.05,-0.11,0.02,0.03,"0.19","0.25","0.25","Diseases of the eye and adnexa","Diseases of the genitourinary system","1, 3","1, 3",0
"2426","Spondylolisthesis","Fibromatoses",-0.05,-0.22,0.13,0.09,"0.6","0.67","0.67","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"2427","Fibromatoses","Hypothyroidism (without hyper)",-0.05,-0.12,0.03,0.04,"0.24","0.31","0.31","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"2428","Urolithiasis","Raynaud's syndrome",-0.05,-0.19,0.1,0.07,"0.53","0.6","0.6","Diseases of the genitourinary system","Diseases of the circulatory system","1, 2","1",0
"2429","Alcohol Problems","Polymyalgia Rheumatica",-0.05,-0.21,0.11,0.08,"0.57","0.64","0.64","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","1","1",0
"2430","Erectile dysfunction","Ulcerative colitis",-0.05,-0.18,0.08,0.07,"0.49","0.56","0.56","Diseases of the genitourinary system","Diseases of the digestive system","1","1, 2, 3",0
"2431","Retinal detachments and breaks","Gastritis and duodeniti",-0.05,-0.17,0.07,0.06,"0.44","0.52","0.52","Diseases of the eye and adnexa","Diseases of the digestive system","1","1",0
"2432","Retinal detachments and breaks","Urolithiasis",-0.05,-0.14,0.05,0.05,"0.32","0.4","0.4","Diseases of the eye and adnexa","Diseases of the genitourinary system","1","1, 2",0
"2433","Primary Malignancy_Other Skin and subcutaneous tissue","Schizophrenia, schizotypal and delusional disorders",-0.05,-0.1,0,0.03,"0.07","0.1","0.1","Neoplasms","Mental and behavioural disorders","1, 2","1, 2, 3",0
"2434","Retinal detachments and breaks","Primary Malignancy_Colorectal",-0.05,-0.17,0.08,0.06,"0.47","0.54","0.54","Diseases of the eye and adnexa","Neoplasms","1","1, 2",0
"2435","Cholelithiasis","Primary Malignancy_Other Skin and subcutaneous tissue",-0.05,-0.1,0,0.03,"0.07","0.1","0.1","Diseases of the digestive system","Neoplasms","1, 2","1, 2",0
"2436","Enthesopathies of the shoulder","Retinal detachments and breaks",-0.05,-0.13,0.04,0.04,"0.27","0.34","0.34","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","1, 2","1",0
"2437","Fibromatoses","Heart failure",-0.05,-0.14,0.05,0.05,"0.33","0.4","0.4","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","2, 3",0
"2438","Sleep apnoea","Fibromatoses",-0.05,-0.12,0.03,0.04,"0.21","0.27","0.27","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2439","Primary Malignancy_Prostate","Gout",-0.05,-0.12,0.02,0.03,"0.16","0.21","0.21","Neoplasms","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",0
"2440","Enthesopathies of the lower body","Primary Malignancy_Breast",-0.05,-0.14,0.05,0.05,"0.31","0.38","0.38","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1, 2","2, 3",0
"2441","Scoliosis","Fibromatoses",-0.05,-0.2,0.1,0.07,"0.51","0.58","0.58","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"2442","Retinal detachments and breaks","Chronic kidney disease",-0.05,-0.15,0.05,0.05,"0.31","0.39","0.39","Diseases of the eye and adnexa","Diseases of the genitourinary system","1","1, 3",0
"2443","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Primary Malignancy_Prostate",-0.05,-0.17,0.07,0.06,"0.4","0.48","0.48","Diseases of the nervous system","Neoplasms","1","1, 2",0
"2444","Fibromatoses","Coronary Heart Disease",-0.05,-0.12,0.02,0.04,"0.15","0.2","0.2","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","2, 3",0
"2445","Primary Malignancy_Breast","Tinnitus",-0.05,-0.14,0.04,0.04,"0.25","0.32","0.32","Neoplasms","Diseases of the ear and mastoid process","2, 3","1, 2",0
"2446","Primary Malignancy_Colorectal","Nonrheumatic valve disease",-0.05,-0.17,0.06,0.06,"0.38","0.45","0.45","Neoplasms","Diseases of the circulatory system","1, 2","1, 2",0
"2447","Erectile dysfunction","Glaucoma",-0.05,-0.17,0.06,0.06,"0.38","0.45","0.45","Diseases of the genitourinary system","Diseases of the eye and adnexa","1","1, 3",0
"2448","Primary Malignancy_Colorectal","Hypothyroidism (without hyper)",-0.05,-0.12,0.02,0.04,"0.15","0.21","0.21","Neoplasms","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"2449","Glaucoma","Tendon disorders",-0.05,-0.12,0.01,0.03,"0.11","0.16","0.16","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 3","1, 2",0
"2450","Carpal tunnel syndrome","Primary Malignancy_Breast",-0.05,-0.1,0,0.03,"0.04","0.06","0.06","Diseases of the nervous system","Neoplasms","1, 2","2, 3",0
"2451","Ulcerative colitis","Abdominal aortic aneurysm",-0.05,-0.14,0.04,0.05,"0.24","0.31","0.31","Diseases of the digestive system","Diseases of the circulatory system","1, 2, 3","1, 2",0
"2452","Intervertebral disc disorders","Primary Malignancy_Colorectal",-0.05,-0.14,0.03,0.04,"0.23","0.29","0.29","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1, 2","1, 2",0
"2453","Osteoporosis","Gout",-0.05,-0.12,0.01,0.03,"0.11","0.15","0.15","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2, 3",1
"2454","Bursitis","Ulcerative colitis",-0.05,-0.19,0.08,0.07,"0.42","0.5","0.5","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","1, 2, 3",0
"2455","Insomnia","Primary Malignancy_Colorectal",-0.05,-0.22,0.12,0.09,"0.53","0.61","0.61","Diseases of the nervous system","Neoplasms","1","1, 2",0
"2456","Allergic and chronic rhinitis","Primary Malignancy_Colorectal",-0.05,-0.15,0.05,0.05,"0.29","0.36","0.36","Diseases of the respiratory system","Neoplasms","1, 2","1, 2",0
"2457","Primary Malignancy_Colorectal","Chronic kidney disease",-0.05,-0.14,0.03,0.05,"0.23","0.3","0.3","Neoplasms","Diseases of the genitourinary system","1, 2","1, 3",0
"2458","Diabetes type 2","Scoliosis",-0.06,-0.12,0.01,0.03,"0.1","0.14","0.14","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","2, 3","1, 2",0
"2459","Hypothyroidism (without hyper)","Glaucoma",-0.06,-0.11,0,0.03,"0.05","0.07","0.07","Endocrine, nutritional and metabolic diseases","Diseases of the eye and adnexa","1, 2","1, 3",0
"2460","Ulcerative colitis","Gout",-0.06,-0.12,0.01,0.03,"0.07","0.1","0.1","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2, 3","1, 2, 3",0
"2461","Primary Malignancy_Breast","Polymyalgia Rheumatica",-0.06,-0.16,0.05,0.05,"0.28","0.35","0.35","Neoplasms","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"2462","Psoriasis","Primary Malignancy_Other Skin and subcutaneous tissue",-0.06,-0.13,0.02,0.04,"0.14","0.18","0.19","Diseases of the skin and subcutaneous tissue","Neoplasms","1, 2","1, 2",0
"2463","Bursitis","Primary Malignancy_Breast",-0.06,-0.16,0.04,0.05,"0.25","0.31","0.31","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1","2, 3",0
"2464","Carpal tunnel syndrome","Fibromatoses",-0.06,-0.13,0.02,0.04,"0.13","0.18","0.18","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2465","Iron deficiency anaemia","Glaucoma",-0.06,-0.16,0.04,0.05,"0.25","0.31","0.31","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the eye and adnexa","1","1, 3",0
"2466","Vitamin B12 deficiency anaemia","Primary Malignancy_Breast",-0.06,-0.17,0.05,0.06,"0.3","0.38","0.38","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Neoplasms","1","2, 3",0
"2467","Primary Malignancy_Prostate","Asthma",-0.06,-0.13,0.01,0.03,"0.08","0.12","0.12","Neoplasms","Diseases of the respiratory system","1, 2","2, 3",0
"2468","Osteoarthritis (excl spine)","Primary Malignancy_Prostate",-0.06,-0.12,0,0.03,"0.05","0.08","0.08","Diseases of the musculoskeletal system and connective tissue","Neoplasms","2, 3","1, 2",0
"2469","Carpal tunnel syndrome","Glaucoma",-0.06,-0.12,0,0.03,"0.05","0.07","0.07","Diseases of the nervous system","Diseases of the eye and adnexa","1, 2","1, 3",0
"2470","Enthesopathies of the shoulder","Primary Malignancy_Breast",-0.06,-0.12,0,0.03,"0.04","0.06","0.06","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1, 2","2, 3",0
"2471","Carpal tunnel syndrome","Retinal detachments and breaks",-0.06,-0.15,0.03,0.04,"0.17","0.23","0.23","Diseases of the nervous system","Diseases of the eye and adnexa","1, 2","1",0
"2472","Retinal detachments and breaks","Cholelithiasis",-0.06,-0.14,0.02,0.04,"0.16","0.22","0.22","Diseases of the eye and adnexa","Diseases of the digestive system","1","1, 2",0
"2473","Primary Malignancy_Breast","Peptic ulcer disease",-0.06,-0.14,0.02,0.04,"0.12","0.17","0.17","Neoplasms","Diseases of the digestive system","2, 3","1, 2",0
"2474","Primary Malignancy_Prostate","Cholelithiasis",-0.06,-0.13,0,0.03,"0.07","0.1","0.1","Neoplasms","Diseases of the digestive system","1, 2","1, 2",0
"2475","Carpal tunnel syndrome","Primary Malignancy_Other Skin and subcutaneous tissue",-0.06,-0.12,-0.01,0.03,"0.03","0.04","0.04","Diseases of the nervous system","Neoplasms","1, 2","1, 2",0
"2476","Depression","Retinal detachments and breaks",-0.06,-0.14,0.02,0.04,"0.12","0.16","0.16","Mental and behavioural disorders","Diseases of the eye and adnexa","3","1",0
"2477","Schizophrenia, schizotypal and delusional disorders","Obesity",-0.06,-0.1,-0.02,0.02,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Endocrine, nutritional and metabolic diseases","1, 2, 3","1, 2",0
"2478","Chronic kidney disease","Primary Malignancy_Other Skin and subcutaneous tissue",-0.06,-0.12,0,0.03,"0.04","0.06","0.06","Diseases of the genitourinary system","Neoplasms","1, 3","1, 2",0
"2479","Diabetes type 2","Tinnitus",-0.06,-0.14,0.01,0.04,"0.09","0.13","0.13","Endocrine, nutritional and metabolic diseases","Diseases of the ear and mastoid process","2, 3","1, 2",0
"2480","Essential tremor","Enthesopathies of the upper body",-0.06,-0.2,0.07,0.07,"0.37","0.44","0.44","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"2481","Obesity","Osteoporosis",-0.06,-0.12,-0.01,0.03,"0.03","0.04","0.04","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2482","Retinal detachments and breaks","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",-0.06,-0.22,0.09,0.08,"0.42","0.5","0.5","Diseases of the eye and adnexa","Diseases of the nervous system","1","1",0
"2483","Nonrheumatic valve disease","Primary Malignancy_Prostate",-0.07,-0.16,0.03,0.05,"0.19","0.25","0.25","Diseases of the circulatory system","Neoplasms","1, 2","1, 2",0
"2484","Intervertebral disc disorders","Retinal detachments and breaks",-0.07,-0.16,0.03,0.05,"0.15","0.21","0.21","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","1, 2","1",0
"2485","Primary Malignancy_Bladder","Thromboembolic",-0.07,-0.21,0.08,0.07,"0.36","0.44","0.44","Neoplasms","Diseases of the circulatory system","1","1, 2",0
"2486","Erectile dysfunction","Retinal detachments and breaks",-0.07,-0.24,0.1,0.09,"0.44","0.52","0.52","Diseases of the genitourinary system","Diseases of the eye and adnexa","1","1",0
"2487","Hyperthyroidism (without hypo)","Fibromatoses",-0.07,-0.18,0.05,0.06,"0.26","0.33","0.33","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2488","Asthma","Primary Malignancy_Other Skin and subcutaneous tissue",-0.07,-0.12,-0.01,0.03,"0.02","0.04","0.04","Diseases of the respiratory system","Neoplasms","2, 3","1, 2",0
"2489","Primary Malignancy_Prostate","COPD",-0.07,-0.13,0,0.03,"0.04","0.06","0.06","Neoplasms","Diseases of the respiratory system","1, 2","1, 2",0
"2490","Retinal detachments and breaks","Diabetes type 2",-0.07,-0.13,0,0.03,"0.04","0.06","0.06","Diseases of the eye and adnexa","Endocrine, nutritional and metabolic diseases","1","2, 3",0
"2491","Peripheral arterial disease","Primary Malignancy_Other Skin and subcutaneous tissue",-0.07,-0.18,0.04,0.06,"0.23","0.3","0.3","Diseases of the circulatory system","Neoplasms","1","1, 2",0
"2492","Coronary Heart Disease","Primary Malignancy_Breast",-0.07,-0.11,-0.03,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Neoplasms","2, 3","2, 3",0
"2493","Primary Malignancy_Colorectal","Ischaemic stroke and TIA",-0.07,-0.22,0.08,0.08,"0.37","0.45","0.45","Neoplasms","Diseases of the circulatory system","1, 2","1",0
"2494","Primary Malignancy_Other Skin and subcutaneous tissue","Heart failure",-0.07,-0.13,-0.01,0.03,"0.02","0.03","0.03","Neoplasms","Diseases of the circulatory system","1, 2","2, 3",0
"2495","Retinal detachments and breaks","Psoriasis",-0.07,-0.18,0.04,0.06,"0.18","0.24","0.24","Diseases of the eye and adnexa","Diseases of the skin and subcutaneous tissue","1","1, 2",0
"2496","Primary Malignancy_Breast","Female genital prolapse",-0.07,-0.13,-0.02,0.03,"<0.0001","0.01","0.01","Neoplasms","Diseases of the genitourinary system","2, 3","1, 2",0
"2497","Hypothyroidism (without hyper)","Primary Malignancy_Prostate",-0.08,-0.14,-0.01,0.03,"0.02","0.03","0.03","Endocrine, nutritional and metabolic diseases","Neoplasms","1, 2","1, 2",0
"2498","Primary Malignancy_Colorectal","Enthesopathies of the upper body",-0.08,-0.18,0.02,0.05,"0.13","0.18","0.18","Neoplasms","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2499","Fibromatoses","Nonrheumatic valve disease",-0.08,-0.19,0.04,0.06,"0.19","0.25","0.25","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1, 2",0
"2500","Bursitis","Primary Malignancy_Prostate",-0.08,-0.19,0.04,0.06,"0.2","0.26","0.26","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1","1, 2",0
"2501","Rheumatoid Arthritis","Retinal detachments and breaks",-0.08,-0.18,0.02,0.05,"0.14","0.19","0.19","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","3","1",0
"2502","Primary Malignancy_Colorectal","Enthesopathies of the shoulder",-0.08,-0.16,0.01,0.04,"0.07","0.1","0.1","Neoplasms","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"2503","Primary Malignancy_Prostate","Raynaud's syndrome",-0.08,-0.2,0.05,0.06,"0.22","0.28","0.28","Neoplasms","Diseases of the circulatory system","1, 2","1",0
"2504","Chronic kidney disease","Schizophrenia, schizotypal and delusional disorders",-0.08,-0.13,-0.03,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Mental and behavioural disorders","1, 3","1, 2, 3",0
"2505","Essential tremor","Osteoporosis",-0.08,-0.2,0.04,0.06,"0.19","0.26","0.26","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"2506","Hearing loss","Retinal detachments and breaks",-0.08,-0.17,0.01,0.04,"0.07","0.1","0.1","Diseases of the ear and mastoid process","Diseases of the eye and adnexa","3","1",0
"2507","Abdominal aortic aneurysm","Primary Malignancy_Other Skin and subcutaneous tissue",-0.08,-0.17,0,0.04,"0.06","0.09","0.09","Diseases of the circulatory system","Neoplasms","1, 2","1, 2",0
"2508","Primary Malignancy_Colorectal","Asthma",-0.08,-0.15,-0.01,0.04,"0.03","0.04","0.04","Neoplasms","Diseases of the respiratory system","1, 2","2, 3",0
"2509","Retinal detachments and breaks","Enthesopathies of the lower body",-0.08,-0.23,0.07,0.08,"0.28","0.35","0.35","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"2510","COPD","Primary Malignancy_Other Skin and subcutaneous tissue",-0.08,-0.14,-0.03,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Neoplasms","1, 2","1, 2",0
